epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,4421.48,0.67423,0.28387,0.81948,0.99921,0.99996,0.995,0.8399,0.67605,0.26283,0.80845,0.001288,0.001288,0.001288
90,4473.19,0.67042,0.28222,0.81967,0.99992,1,0.995,0.84356,0.66838,0.25966,0.80776,0.001189,0.001189,0.001189
91,4524.41,0.66218,0.27493,0.81413,0.99915,1,0.995,0.84022,0.68658,0.2637,0.8102,0.00109,0.00109,0.00109
92,4573.3,0.63973,0.26613,0.81137,1,0.99989,0.995,0.84258,0.67407,0.25801,0.80878,0.000991,0.000991,0.000991
93,4622.3,0.62983,0.26185,0.8108,0.99991,1,0.995,0.84562,0.674,0.25734,0.80938,0.000892,0.000892,0.000892
94,4670.43,0.62292,0.25961,0.80798,0.99916,1,0.995,0.84405,0.67108,0.25824,0.80863,0.000793,0.000793,0.000793
95,4720.43,0.61435,0.25731,0.80826,0.99916,1,0.995,0.84456,0.66825,0.2559,0.80878,0.000694,0.000694,0.000694
96,4773.3,0.61307,0.25632,0.80812,0.9992,1,0.995,0.84611,0.66786,0.2578,0.80833,0.000595,0.000595,0.000595
97,4823.08,0.61059,0.2543,0.80659,0.99921,1,0.995,0.84547,0.66909,0.25645,0.80905,0.000496,0.000496,0.000496
98,4870.76,0.60333,0.25015,0.80731,0.99916,1,0.995,0.84575,0.67095,0.25973,0.80951,0.000397,0.000397,0.000397
99,4919.14,0.60253,0.2483,0.80573,0.99918,1,0.995,0.8469,0.66185,0.25563,0.80733,0.000298,0.000298,0.000298
100,4966.55,0.59388,0.2458,0.80532,0.99915,1,0.995,0.84626,0.66706,0.25791,0.8086,0.000199,0.000199,0.000199
